,WT_HTB-22,WT_HTB-123,WT_HTB-25,WT_CRL-1897,MUT_HCC1187,MUT_HCC1419,MUT_HCC1954,MUT_HCC2157,MUT_HCC2998,MUT_MFM-SS3
ZNFN1A1,0.875633443,0.573186937,1.035042037,0.896573174,2.487287267,1.508392421,1.741034511,1.893231512,1.643043515,2.384385712
ZAP70,-0.16956526,-0.704396072,1.140510316,-0.503800996,-2.974599555,-1.802293564,-1.429760356,-2.538959822,-1.921567708,-1.73990533
ZAK,-5.550414915,-2.586938312,-2.828942851,-6.568533514,-0.42891662,-0.977233612,-1.562219498,0.147650761,-0.615515368,-1.620266881
YES1,-1.670962978,-0.884464251,-1.336950668,-0.908547324,-0.32837943,0.066880573,0.093493379,-0.173147565,0.793082316,-0.603086491
XYLB,-1.189033056,-2.394660325,-0.223556405,-1.301810922,0.4879735,0.585815207,-0.451285754,0.605361759,0.751855265,0.58368711
XPC,-0.08553847,0.149138912,0.978549273,1.945122022,-1.352072167,-1.410052645,-2.329404343,-1.546463835,-0.737771163,-0.320491319
XPA,-0.549577888,-1.282248677,-3.329905355,-0.341640282,1.118822492,-0.000139522,2.529130788,0.38569721,1.680779724,2.909050591
WT1,-0.509108354,-0.538212038,-0.382896977,-2.551529295,1.259280064,2.010333097,0.675398148,0.679463714,1.61700083,-0.214709917
WRN,-2.751850494,-2.263876889,-4.360320281,-0.690429619,-0.2697846,0.239948513,-1.068824021,-0.63464026,0.420077604,-0.421781042
WNK4,-4.947158241,-1.384603849,-2.359587443,-3.718423633,-1.523873455,-0.058758959,-1.712029175,-0.303272353,0.586616681,-1.078881432
WEE1,-3.656373035,-3.24863382,-4.519878035,-1.768578108,-1.383153251,0.907624746,-1.188010822,0.061764465,-1.857158523,-2.300486277
WAS,-1.093689269,-1.383949099,-1.383927623,-1.093782711,-0.40933496,-0.218531228,-0.797912356,-0.231401711,1.05774864,-0.664779631
VRK3,1.637533482,-1.620924382,-2.068731855,-0.792007019,1.470439827,1.108771643,1.129596627,1.037843663,1.086504891,2.499220053
VRK2,1.835149046,1.41409257,-0.436092937,0.832104448,2.013814467,1.777006196,1.981858831,1.924816905,2.104635053,2.920193708
VRK1,1.316305744,1.295664611,0.485885018,1.784158959,1.806311086,2.182925406,2.523374294,1.702564462,2.016261284,1.582512793
VHL,-0.724087961,-3.242196119,-3.417859061,-1.835783879,0.572163142,-0.040899338,-2.250461556,0.286821,-0.691585806,1.441451792
URKL1,-2.117616645,-2.458320631,-1.001199615,-0.739766771,-0.338440726,-0.155225748,-0.480748774,0.24306483,-1.427175572,0.812643139
UMPK,0.491180356,0.670388844,0.981995009,1.839858505,-0.632059611,-0.009127313,0.495891822,0.242659618,0.474599265,0.303580161
UMP-CMPK,-1.175797617,-0.721011506,-1.103686298,0.507679978,0.607194267,0.87614235,0.538017923,-0.241575812,0.198704956,1.876373789
ULK4,0.973902371,-0.11547004,0.637395405,-0.288447883,0.714891851,1.72151066,1.763240541,1.010799519,2.932641719,1.05461995
ULK2,0.230796667,-0.101705411,-0.032154857,2.051976231,1.582951869,1.488296658,1.657630032,2.382622669,2.30323394,1.126409632
ULK1,-1.056786476,-0.490977244,-0.27042342,-0.604885165,0.814310623,0.862035527,-0.634283285,-0.025786355,0.024019901,0.094353004
UHMK1,-0.844821474,-1.35552685,-1.701823565,-0.272596115,-0.503771123,0.962376593,0.612133652,-0.355031815,-0.676845115,-0.066333841
UCK1,-0.961268184,0.204604716,-2.012513347,1.14122754,1.646941375,1.312139301,1.101211268,1.971129807,-0.214073007,1.774749946
TYRO3,-3.800727967,-0.313377023,0.37880313,-0.738696923,0.805089475,-0.23811935,1.157376196,2.368663135,2.228350641,0.215789748
TYK2,-0.304786932,-1.680382252,0.064206841,-1.730875625,-4.638211846,-2.257682131,-3.443876526,-2.277462748,-1.260970703,-2.02009892
TTK,1.027904479,1.281171152,-0.230538917,0.511796621,1.514336242,1.905342614,1.97314956,1.282118232,1.50471039,0.757032769
TTBK2,1.05465833,-0.11353615,-2.197084308,-0.914435252,0.534593918,0.962701418,1.667752393,0.474732553,2.233661816,0.331986888
TTBK1,-6.11730878,-4.727833626,-15.5727963,1.949917798,2.481077454,0.927065315,-0.470723697,1.818485338,-1.838804313,2.348249075
TSKS,0.551324114,0.407415803,-1.55284897,-0.590726816,-2.056775704,-1.198891656,-4.855015198,-4.23593248,-0.094775615,-4.557099191
TSC2,-1.040029071,-1.067369663,-2.91429265,-0.990648346,0.38798086,1.094039458,-1.464078884,0.929303168,-0.782997194,-0.330205933
TSC1,1.086383621,0.136016898,0.650963171,1.112483638,1.75344874,2.010033439,0.863733815,4.041520467,1.971032365,1.738867424
TRPM7,0.677590708,1.40743907,1.57080384,-0.367661206,0.714426239,-0.718515324,-0.435080464,-1.459162667,0.296740084,-1.024703222
TRPM6,-1.046276508,0.784444923,0.374736348,1.074236501,0.784864378,0.925787286,1.841242959,1.323188233,1.340701195,1.32956335
TRIO,-2.394982315,-2.927603161,-6.770833616,-4.079697673,-0.157081494,-1.486010913,-3.924422835,0.271524152,-2.71133605,-0.799879664
TRIB3,-2.815677054,-4.094464845,-4.791170309,-5.43674674,-1.52974709,-1.686744115,-5.465155756,-0.313364716,-0.391157062,-1.784209356
TRIB2,0.323049145,0.794151646,0.406835445,-0.066447167,-1.219386359,0.353768549,-1.128553113,0.403572897,-0.727497775,-0.98726376
TRIB1,1.159296587,1.68099602,0.619201786,1.898504215,1.729920988,2.123214115,2.433990274,2.270708603,1.899934851,1.484777095
TPK1,1.362801816,2.409040762,0.752326613,1.843881046,1.710313659,-1.820672468,0.989165911,-1.470666874,0.467645831,-0.508578723
TP53RK,-1.053802272,-1.104184808,-0.331598801,-0.201947433,-0.646675103,-0.024019718,0.790905746,0.515341896,-0.272988828,-0.071252862
TP53,-1.918633635,-1.657750309,-0.980728471,-1.281421489,1.807589446,-1.370481231,-1.011499591,-0.012135853,-0.02217866,-0.346988632
TOPK,0.271763147,1.065140014,0.731585413,0.535668684,-0.710472597,-1.150625982,-0.122614666,-2.973523863,-0.065402683,0.538232032
TNNI3K,-1.910060102,0.259358443,-0.037118411,-1.332339285,-4.77658665,-1.393381871,-6.88365443,-8.337323675,-2.111516992,-1.435998339
TNK2,0.153853055,0.382028526,0.548542326,-1.17339721,-1.121499574,-2.5180212,-4.923512894,0.267468113,-1.401874688,-2.710833846
TNK1,-1.290073068,-2.08494956,-2.373225969,-0.763515949,1.277306437,1.080931812,-1.453079006,-1.185620704,-0.527350665,-0.634126328
TNIK,1.002602539,1.8350672,-0.352231608,0.434933958,-0.943292309,0.606909851,-3.732787392,-2.930416776,0.631383465,-1.747813572
TLK2,1.069453909,1.211383921,0.682328154,0.755849595,1.645159326,1.911505077,2.124720911,0.860163614,1.595761662,0.950497252
TLK1,-1.115768283,-1.002649684,-2.183275485,-1.677125265,-2.255864428,-2.17069745,-5.44392837,-5.071671122,-1.83573654,-7.77819081
TK2,-1.934585452,-0.304361793,-3.363355922,-2.315052141,-2.152053726,-4.137338075,-2.737252653,-4.082183455,-4.905385515,-3.00973002
TJP2,0.36587098,1.008898634,1.39552059,2.554972789,0.004334579,-0.931212455,-3.103488876,-0.453021201,1.408578547,0.339531863
THNSL1,0.133818777,-0.177701256,0.238494539,-2.403627783,0.321081171,1.166873126,1.384594431,-0.073587352,1.955263458,-0.012358192
TGFBR3,-1.089188416,0.336720844,-0.031477632,-0.561960609,-0.590866512,0.316344044,1.610561817,0.828284992,1.961634635,0.419168043
TGFBR2,0.296481197,-0.048166363,0.05191936,0.134612986,0.39602817,1.283156828,0.905096221,-0.006555378,0.605840819,2.057333898
TGFBR1,-1.287808714,-0.014088535,0.069695403,-0.440083423,0.637412361,1.116028369,3.092889712,0.488802688,-0.848182804,2.827246866
TEX14,1.151240759,1.00318824,-1.329150185,0.782532634,1.772176899,2.070761858,2.180922889,0.748060382,1.174709501,1.119632125
TESK2,-0.739248357,-0.541828795,1.077822791,-1.397679672,1.317878692,-0.923936576,1.18983191,1.771655876,2.057252202,0.417489616
TESK1,1.25250634,2.311133998,1.371767461,0.256049085,1.568715617,-0.012151276,0.951982303,-0.20918816,-1.115825399,-1.397544003
TEK,1.004173032,0.904613434,1.866152403,0.552202063,0.740478177,1.446661197,-0.890108097,0.294566337,-0.817998129,-0.549215522
TEC,0.776319436,0.209952028,-1.013536766,1.217402997,-0.85903744,-0.984015668,-0.915937946,-0.015459742,0.160919353,-1.622279849
TCF1,-1.717842213,-1.268738785,-0.132796904,0.652233285,-2.377769346,-3.558529673,-3.210483101,-1.051763487,-0.568732621,-1.653646286
TBK1,1.504012796,-2.332795476,0.11927364,-0.097526762,1.046622874,1.363499302,1.769212212,1.724652987,0.666563101,0.334509413
TAO1,1.836201123,2.450558982,2.327125842,0.562990877,0.389850628,-0.625876536,1.264616063,2.181906907,0.523749578,-0.78434341
TAF1L,-1.802545975,-1.683018604,0.605810622,-2.650520146,-1.026669828,-0.127389843,-0.313865373,0.273649628,1.029839358,-0.462848304
TAF1,0.70323214,-1.755835664,-0.439452115,1.420425301,1.335138436,1.216550417,0.628749863,1.38364123,0.473867787,2.24041714
SYK,0.841210863,1.107124718,1.972827271,1.591281711,1.019955187,0.644368732,1.432925068,0.467229308,0.671955148,-0.585484935
SUFU,-3.018364637,-0.924052513,-4.612210012,-2.711208144,-1.795991052,-1.315133232,-0.906701395,-2.715131724,-1.458456082,-0.215184122
STYK1,-2.363042475,-1.727469989,-1.088183367,-0.294206634,0.074132784,1.654605276,-0.223226135,0.204863382,-1.624319114,-0.729229902
STK4,-0.068798897,-1.883788044,0.479765876,-0.591744162,-3.29761385,-0.69460069,-2.6165005,-2.163609277,-2.408722804,-0.207842247
STK39,1.093828098,1.472875884,-0.49781709,0.379051027,1.685509079,1.955867069,2.133978349,0.812301499,1.270604657,0.867453472
STK38L,0.700196409,1.082347624,1.836920118,0.921263159,0.240844858,0.738960168,1.03695383,1.03923395,0.461068524,0.215696989
STK38,1.670655709,1.276342714,-0.547299408,0.452375538,-1.084295849,-0.32521956,-0.080366425,0.115818977,-0.049910561,0.420579799
STK36,0.824608996,-0.465783785,-4.268645531,-2.843216827,1.620697984,0.612813852,-0.279921833,1.165777476,-0.683455537,-0.802643636
STK35,-0.699951238,-0.423682833,-0.070764491,-0.303441334,0.691971254,0.97682264,-0.051053204,0.479224545,-0.653284731,2.409950934
STK33,0.495747005,0.97385653,-0.998800385,1.037290067,1.31694487,1.720335233,1.408679817,1.001300919,1.448121822,0.37682129
STK32C,0.815715251,0.473080521,0.278557439,-0.815767203,0.548744621,-0.817720432,-0.047201272,-2.100768476,-1.776418582,-1.302759614
STK32B,-0.047879997,0.825366621,-0.256427495,1.196347919,0.941869686,1.608355139,1.934194657,2.502956402,1.312324491,0.013263736
STK32A,0.463404876,3.629696026,0.965693036,0.77774531,-0.008467166,-0.275190929,1.626255387,-0.99873027,-0.635713453,0.673057329
STK31,1.302028954,-0.392717791,0.114243313,1.122426709,0.444825995,0.77483393,-1.128740991,-1.29167784,-1.420919223,-0.504148642
STK3,1.751919331,0.763806613,0.94920228,1.63554319,1.515120904,1.603526113,1.548671463,2.113773334,1.554800988,1.82635094
STK29,0.020455821,0.784177563,-0.400594569,1.365991993,-0.577376593,-0.221575256,0.924429223,-2.616574955,-1.207255924,-1.051079082
STK25,-0.757329508,-0.721953629,-1.757379418,-0.462194293,0.953560026,1.16591294,-1.411159949,0.079753406,-0.710302621,0.406287771
STK24,-1.426259951,-2.376914405,-3.833915585,-3.950262319,-1.954562258,-0.904820369,-0.280494622,-2.88104795,-2.067132305,-1.978916513
STK23,0.406688147,1.184777784,1.181052072,-0.836700137,-0.008591483,1.061346064,-0.592997748,-1.189518275,-2.293326815,-2.289316331
STK22D,0.335449837,-0.750646554,-1.24489458,-0.763549604,-0.823312027,-2.033103357,-1.167157278,-3.814599792,-3.002390556,-0.460970362
STK22D,0.458112131,-0.251938091,-0.727457008,-0.200580014,1.238109091,-0.621385561,2.41515721,0.346922757,0.401058736,1.055437755
STK22C,0.45916889,1.53455807,1.009390896,0.655037541,0.302735788,0.859812624,1.15525872,-0.108002516,-0.693448374,-0.450522704
STK22B,-3.189604098,-1.110352756,-0.255490111,-0.238477915,-0.789044119,-1.124074187,0.405780657,0.323431545,0.228776274,1.700771155
STK19,0.994214156,-1.347311528,-0.132267319,0.582843001,1.464866113,1.286972277,-0.015104142,1.05046542,1.277108976,0.406676249
